ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
1304 10 AV SW,"4,250,000",LI,4250000.0
1304 17 AV SW,"4,870,000",LI,4870000.0
1305 11 ST SW,"2,030,000",LI,2030000.0
131 12 AV SW,"3,270,000",LI,3270000.0
131 12 AV SW,"3,270,000",LI,3270000.0
1310 CENTRE ST SE,"7,350,000",LI,7350000.0
1312 1 ST SW,"2,390,000",LI,2390000.0
1312 17 AV SW,"2,450,000",LI,2450000.0
1314 17 AV SW,"3,240,000",LI,3240000.0
1315 11 AV SW,"3,110,000",LI,3110000.0
1316 11 AV SW,"5,550,000",LI,5550000.0
1320 14 ST SW,"3,570,000",LI,3570000.0
1324 10 AV SW,"7,010,000",LI,7010000.0
1328 17 AV SW,"2,110,000",LI,2110000.0
1332 11 AV SW,"2,000,000",LI,2000000.0
1336 11 AV SW,"1,740,000",LI,1740000.0
1350 11 AV SW,"1,500,000",LI,1500000.0
140 11 AV SW,"5,010,000",LI,5010000.0
140 17 AV SE,"2,280,000",LI,2280000.0
140 17 AV SE,"2,280,000",LI,2280000.0
1402 11 AV SW,"1,300,000",LI,1300000.0
1402 14 ST SW,"2,220,000",LI,2220000.0
1403 8 ST SW,"3,250,000",LI,3250000.0
1405 4 ST SW,"6,320,000",LI,6320000.0
1410 17 AV SW,"4,040,000",LI,4040000.0
1410 4 ST SW,"1,390,000",LI,1390000.0
1411 1 ST SW,"3,880,000",LI,3880000.0
1411 1 ST SW,"3,880,000",LI,3880000.0
1412 1 ST SW,"421,500",LI,421500.0
1413 11 ST SW,"4,000,000",LI,4000000.0
1422 17 AV SW,"7,370,000",LI,7370000.0
1424 17 AV SW,"1,100,000",LI,1100000.0
1424 4 ST SW,"1,370,000",LI,1370000.0
1428 17 AV SW,"2,170,000",LI,2170000.0
1502 11 ST SW,"1,610,000",LI,1610000.0
1503 4 ST SW,"6,020,000",LI,6020000.0
